"nacionality","sex","sport","edad","medallas"
"EGY","male","shooting",35,"NO"
"EGY","male","volleyball",25,"NO"
"EGY","male","archery",38,"NO"
"EGY","male","handball",32,"NO"
"PLE","male","aquatics",25,"NO"
"NIG","male","judo",28,"NO"
"IRQ","male","football",24,"NO"
"EGY","male","shooting",30,"NO"
"TUN","male","aquatics",27,"NO"
"EGY","male","shooting",20,"NO"
"EGY","male","weightlifting",28,"NO"
"EGY","male","wrestling",27,"NO"
"EGY","male","sailing",25,"NO"
"EGY","male","weightlifting",30,"NO"
"EGY","male","shooting",37,"NO"
"TUR","male","table tennis",25,"NO"
"TUR","male","cycling",23,"NO"
"KOR","female","cycling",26,"NO"
"VEN","female","athletics",31,"NO"
"JPN","female","table tennis",28,"SI"
"JPN","female","sailing",36,"NO"
"JPN","female","triathlon",33,"NO"
"TPE","female","shooting",21,"NO"
"KGZ","male","wrestling",30,"NO"
"CHN","male","sailing",31,"NO"
"SEN","female","basketball",30,"NO"
"HUN","female","fencing",40,"NO"
"MEX","female","archery",28,"NO"
"RUS","female","fencing",30,"NO"
"AUS","male","aquatics",26,"NO"
"JPN","female","aquatics",25,"SI"
"GRE","female","rowing",24,"NO"
"GRE","female","fencing",19,"NO"
"JPN","female","aquatics",23,"SI"
"JPN","female","gymnastics",17,"NO"
"IRL","female","triathlon",34,"NO"
"ARG","female","gymnastics",20,"NO"
"NED","female","handball",25,"NO"
"CHN","male","basketball",23,"NO"
"NZL","female","canoe",21,"NO"
"GBR","female","aquatics",23,"NO"
"ESP","female","rowing",22,"NO"
"ESP","female","handball",22,"NO"
"ESP","female","triathlon",38,"NO"
"KAZ","female","taekwondo",18,"NO"
"JPN","female","gymnastics",22,"NO"
"LTU","female","athletics",24,"NO"
"CHN","male","aquatics",21,"SI"
"JAM","female","athletics",27,"NO"
"AUS","female","shooting",16,"NO"
"KGZ","female","wrestling",23,"NO"
"ESP","male","aquatics",23,"NO"
"AUS","female","football",31,"NO"
"USA","female","athletics",22,"NO"
"SUI","female","athletics",20,"NO"
"HUN","female","aquatics",15,"NO"
"USA","female","rugby sevens",25,"NO"
"JPN","female","equestrian",38,"NO"
"JPN","female","hockey",28,"NO"
"JPN","female","badminton",19,"NO"
"RSA","male","athletics",23,"NO"
"IND","male","hockey",22,"NO"
"CAN","male","athletics",24,"SI"
"BAR","female","athletics",21,"NO"
"JPN","female","hockey",27,"NO"
"JPN","female","canoe",25,"NO"
"JPN","male","athletics",26,"NO"
"JPN","female","shooting",32,"NO"
"NZL","male","rugby sevens",21,"NO"
"JPN","male","aquatics",28,"NO"
"TOG","female","rowing",20,"NO"
"GHA","female","athletics",20,"NO"
"IRQ","male","football",20,"NO"
"EGY","male","fencing",26,"NO"
"NGR","male","basketball",29,"NO"
"GBR","male","sailing",30,"NO"
"GBR","male","rowing",33,"NO"
"RSA","male","cycling",20,"NO"
"GBR","male","rowing",31,"NO"
"IRL","male","hockey",29,"NO"
"NZL","female","athletics",29,"NO"
"AUS","female","athletics",32,"NO"
