"nacionality","sex","sport","edad","medallas"
"ANT","male","athletics",30,"NO"
"AUS","male","hockey",23,"NO"
"COL","male","equestrian",26,"NO"
"AUS","male","canoe",29,"NO"
"GER","male","shooting",29,"NO"
"CAN","male","volleyball",26,"NO"
"MEX","male","gymnastics",26,"NO"
"ARG","male","canoe",29,"NO"
"GER","male","equestrian",35,"SI"
"ARG","male","cycling",27,"NO"
"CHI","male","athletics",26,"NO"
"VEN","male","sailing",35,"NO"
"GBR","male","hockey",33,"NO"
"MEX","male","fencing",26,"NO"
"GBR","male","aquatics",20,"SI"
"POL","male","table tennis",33,"NO"
"HUN","male","aquatics",27,"NO"
"AUT","male","table tennis",30,"NO"
"CZE","male","canoe",25,"SI"
"GER","male","athletics",27,"SI"
"AUS","male","boxing",23,"NO"
"FRA","male","fencing",25,"SI"
"HUN","male","wrestling",27,"NO"
"ESP","male","aquatics",36,"NO"
"USA","male","shooting",24,"NO"
"ROU","male","aquatics",24,"NO"
"IRL","male","cycling",30,"NO"
"AUS","male","cycling",31,"NO"
"FRA","male","handball",37,"SI"
"ROU","male","judo",24,"NO"
"CAN","male","tennis",44,"NO"
"USA","male","wrestling",30,"NO"
"AUS","male","shooting",34,"NO"
"BRA","male","archery",34,"NO"
"BRA","male","rugby sevens",22,"NO"
"GBR","male","hockey",30,"NO"
"DEN","male","aquatics",23,"NO"
"AUS","male","aquatics",25,"NO"
"SWE","male","athletics",24,"NO"
"GBR","male","athletics",25,"NO"
"ERI","male","cycling",28,"NO"
"BUL","male","wrestling",25,"NO"
"POL","male","rowing",34,"NO"
"HUN","male","aquatics",33,"NO"
"MEX","male","volleyball",30,"NO"
"MEX","male","athletics",32,"NO"
"SUI","male","rowing",27,"NO"
"NZL","male","sailing",26,"NO"
"MEX","female","cycling",30,"NO"
"POR","female","athletics",25,"NO"
"ROU","female","athletics",36,"NO"
"ROU","female","rowing",26,"SI"
"GER","female","athletics",26,"NO"
"BRA","female","shooting",31,"NO"
"ROU","female","table tennis",28,"NO"
"BRA","female","handball",37,"NO"
"GER","female","gymnastics",20,"NO"
"ITA","male","fencing",24,"SI"
"BRA","female","gymnastics",32,"NO"
"ITA","male","volleyball",25,"SI"
"ITA","male","athletics",31,"NO"
"AUS","female","aquatics",24,"NO"
"BRA","female","volleyball",31,"NO"
"SRB","female","basketball",30,"SI"
"AUS","female","gymnastics",24,"NO"
"CAN","female","wrestling",26,"NO"
"SUI","female","aquatics",23,"NO"
"GBR","female","rugby sevens",31,"NO"
"RUS","male","aquatics",18,"NO"
"MNE","male","athletics",24,"NO"
"QAT","male","handball",39,"NO"
"RUS","male","aquatics",25,"NO"
"COL","male","shooting",51,"NO"
"IND","male","hockey",28,"NO"
"TUR","male","weightlifting",24,"SI"
"KAZ","male","boxing",25,"SI"
"SVK","female","shooting",32,"NO"
"MNE","female","tennis",22,"NO"
"CAN","female","sailing",26,"NO"
"JAM","female","athletics",24,"NO"
"USA","male","rugby sevens",26,"NO"
"MAS","male","golf",44,"NO"
"NZL","male","golf",26,"NO"
"FRA","male","gymnastics",31,"NO"
"GBR","male","golf",29,"NO"
"HUN","female","canoe",29,"SI"
"POL","female","athletics",27,"NO"
"CHN","male","archery",20,"NO"
"EGY","female","aquatics",20,"NO"
"NZL","female","judo",24,"NO"
"RUS","female","aquatics",17,"NO"
"RUS","female","handball",21,"SI"
"AUS","female","tennis",22,"NO"
"UKR","female","aquatics",31,"NO"
"RUS","female","tennis",19,"NO"
"RUS","female","volleyball",22,"NO"
"RUS","female","aquatics",18,"NO"
"POL","female","cycling",19,"NO"
"POL","female","judo",26,"NO"
"RUS","female","cycling",22,"SI"
"RUS","female","gymnastics",18,"SI"
"KGZ","female","aquatics",21,"NO"
"RUS","female","aquatics",18,"NO"
"RUS","female","shooting",27,"NO"
"BAR","male","tennis",24,"NO"
"CUB","male","volleyball",34,"NO"
"KAZ","female","boxing",28,"SI"
"CRO","male","basketball",22,"NO"
"POL","male","rowing",30,"NO"
"ITA","female","athletics",23,"NO"
"MNE","male","aquatics",26,"NO"
"SLO","male","handball",26,"NO"
"CRO","male","basketball",26,"NO"
"BRA","male","athletics",25,"NO"
"BRA","female","football",26,"NO"
"ESP","female","handball",34,"NO"
"USA","male","athletics",23,"NO"
"HAI","male","athletics",24,"NO"
"HON","male","football",21,"NO"
"RUS","female","athletics",25,"NO"
"KGZ","female","athletics",21,"NO"
"BLR","female","weightlifting",21,"SI"
"BLR","female","weightlifting",22,"NO"
"TKM","female","aquatics",14,"NO"
"BLR","female","judo",29,"NO"
"UKR","female","aquatics",26,"NO"
"USA","male","fencing",26,"SI"
"RSA","male","cycling",32,"NO"
"GBR","female","athletics",20,"SI"
"UKR","female","rowing",24,"NO"
"UKR","female","aquatics",22,"NO"
"KOR","female","athletics",20,"NO"
"IND","male","rowing",25,"NO"
"KAZ","male","wrestling",33,"NO"
"USA","male","sailing",38,"NO"
"PUR","male","athletics",24,"NO"
"ESP","male","hockey",32,"NO"
"GBR","male","hockey",27,"NO"
"AUS","male","basketball",36,"NO"
"RUS","male","gymnastics",24,"SI"
"USA","male","aquatics",27,"SI"
"AUT","male","aquatics",29,"NO"
"ESP","male","athletics",26,"NO"
"CAN","male","hockey",35,"NO"
"MRI","male","athletics",29,"NO"
"AUS","male","shooting",51,"NO"
"GBR","male","hockey",25,"NO"
"VEN","male","basketball",29,"NO"
"POR","male","canoe",33,"NO"
"ESP","male","tennis",34,"NO"
"GBR","male","canoe",34,"SI"
"HUN","male","aquatics",21,"NO"
"BEL","male","tennis",26,"NO"
"GER","male","boxing",27,"NO"
"SUI","male","cycling",27,"NO"
"IRL","male","hockey",28,"NO"
"CAN","male","golf",37,"NO"
"USA","male","shooting",22,"NO"
"HUN","male","aquatics",20,"NO"
"RSA","male","rowing",25,"NO"
"CZE","male","gymnastics",20,"NO"
"POR","male","cycling",30,"NO"
"KIR","male","weightlifting",32,"NO"
"CZE","male","shooting",41,"NO"
"USA","male","volleyball",34,"SI"
"KEN","male","athletics",28,"SI"
"SWE","male","golf",29,"NO"
"MEX","male","sailing",38,"NO"
"AUS","male","aquatics",24,"NO"
"AUS","male","athletics",30,"NO"
"SLO","male","handball",33,"NO"
"AUS","male","aquatics",22,"SI"
"PAN","male","shooting",52,"NO"
"AUT","male","badminton",27,"NO"
"IRL","male","boxing",29,"NO"
"ITA","male","archery",20,"NO"
"USA","male","aquatics",31,"SI"
"AUS","male","table tennis",25,"NO"
"ESP","male","weightlifting",22,"NO"
"USA","male","volleyball",31,"SI"
"FIN","male","athletics",37,"NO"
"GER","male","athletics",26,"NO"
"CZE","male","modern pentathlon",31,"NO"
"CAF","male","taekwondo",28,"NO"
"PER","male","athletics",31,"NO"
"ESP","male","cycling",28,"NO"
"USA","male","athletics",25,"SI"
"HUN","male","aquatics",28,"NO"
"AUS","male","rowing",24,"NO"
"BOT","male","aquatics",19,"NO"
"ITA","male","athletics",27,"NO"
"ITA","male","triathlon",25,"NO"
"GER","male","football",21,"SI"
"CPV","male","boxing",27,"NO"
"RUS","male","wrestling",24,"SI"
"GEO","male","athletics",24,"NO"
"SRB","male","wrestling",31,"SI"
"POL","male","volleyball",27,"NO"
"ETH","female","athletics",20,"NO"
"ETH","male","athletics",25,"NO"
"CUB","female","judo",30,"NO"
"BRA","female","aquatics",27,"NO"
"USA","male","basketball",28,"SI"
"USA","male","basketball",26,"SI"
"USA","female","athletics",21,"NO"
"SLO","male","handball",27,"NO"
"USA","female","athletics",23,"NO"
"CAN","female","football",17,"SI"
"IND","female","athletics",25,"NO"
"NED","female","volleyball",32,"NO"
"INA","female","badminton",27,"NO"
"BRA","female","football",25,"NO"
"PUR","female","volleyball",31,"NO"
"URU","female","athletics",24,"NO"
"AUS","female","aquatics",22,"NO"
"FSM","female","aquatics",25,"NO"
"IND","female","hockey",22,"NO"
"IND","female","hockey",29,"NO"
"IND","female","archery",22,"NO"
"COL","male","football",23,"NO"
"LTU","male","aquatics",21,"NO"
"COL","male","football",23,"NO"
"SRB","male","canoe",27,"NO"
"ETH","male","athletics",27,"NO"
"GBR","male","athletics",23,"NO"
"ARG","female","hockey",27,"NO"
"FRA","female","badminton",21,"NO"
"USA","male","basketball",27,"SI"
"BAH","male","athletics",27,"NO"
"ARG","male","volleyball",33,"NO"
"MEX","female","sailing",33,"NO"
"HUN","male","aquatics",29,"NO"
"INA","male","weightlifting",27,"NO"
"CUB","female","athletics",26,"SI"
"COM","female","athletics",19,"NO"
"RUS","male","gymnastics",24,"SI"
"RUS","male","cycling",30,"SI"
"FRA","male","canoe",29,"SI"
"RUS","male","sailing",30,"NO"
"RUS","male","judo",26,"NO"
"UZB","male","tennis",30,"NO"
"RUS","male","shooting",34,"NO"
"USA","male","tennis",24,"NO"
"GER","male","wrestling",22,"SI"
"SVK","male","canoe",21,"SI"
"KGZ","male","aquatics",16,"NO"
"KAZ","male","weightlifting",23,"NO"
"ROU","female","handball",22,"NO"
"CZE","female","athletics",30,"NO"
"SIN","female","sailing",25,"NO"
"EST","male","sailing",30,"NO"
"TUR","male","sailing",32,"NO"
"BEL","male","gymnastics",23,"NO"
"KEN","male","rugby sevens",22,"NO"
"UKR","male","cycling",34,"NO"
"UKR","male","tennis",29,"NO"
"UKR","male","boxing",24,"NO"
"CGO","male","judo",19,"NO"
"KOR","male","athletics",31,"NO"
"RSA","male","football",23,"NO"
"TTO","male","athletics",24,"NO"
"BRA","female","handball",33,"NO"
"CAN","male","athletics",26,"SI"
"GBR","male","athletics",27,"NO"
"SAM","male","judo",29,"NO"
"PAR","male","athletics",26,"NO"
"GBR","female","athletics",21,"SI"
"USA","female","athletics",33,"NO"
"ITA","female","athletics",22,"NO"
"CAN","female","football",29,"SI"
"DEN","male","football",21,"NO"
"JAM","male","athletics",26,"NO"
"USA","female","rowing",28,"NO"
"ARM","male","wrestling",27,"NO"
"USA","male","canoe",32,"NO"
"IND","male","hockey",24,"NO"
"CAN","male","hockey",27,"NO"
"USA","male","athletics",22,"NO"
"NZL","male","hockey",27,"NO"
"RSA","male","aquatics",24,"NO"
"INA","female","weightlifting",23,"NO"
"INA","female","rowing",19,"NO"
"NED","male","judo",32,"NO"
"IRQ","male","football",22,"NO"
"CHN","female","basketball",23,"NO"
"EGY","male","wrestling",23,"NO"
"PUR","female","athletics",23,"NO"
"BRA","female","aquatics",21,"NO"
"KAZ","female","athletics",21,"NO"
"ITA","female","shooting",33,"SI"
"ARM","female","athletics",22,"NO"
"LTU","female","athletics",36,"NO"
"ESP","female","athletics",35,"NO"
"CAN","female","football",32,"SI"
"COL","female","football",27,"NO"
"COL","female","aquatics",32,"NO"
"PUR","female","volleyball",23,"NO"
"GER","female","athletics",26,"NO"
"USA","female","basketball",34,"SI"
"BDI","female","athletics",32,"NO"
"CUB","female","shooting",28,"NO"
"KAZ","male","judo",19,"NO"
"BEN","male","athletics",21,"NO"
"NED","male","equestrian",28,"NO"
"ESP","male","sailing",23,"NO"
"COL","male","athletics",43,"NO"
"BRA","male","gymnastics",30,"SI"
"DOM","male","cycling",31,"NO"
"ITA","male","fencing",35,"NO"
"COL","male","athletics",23,"NO"
"ITA","male","cycling",27,"NO"
"MEX","male","athletics",22,"NO"
"CGO","male","aquatics",20,"NO"
"BEL","male","aquatics",25,"NO"
"CMR","male","boxing",18,"NO"
"TUR","female","judo",22,"NO"
"TUR","female","sailing",21,"NO"
"ITA","female","aquatics",20,"NO"
"TJK","male","athletics",34,"SI"
"UZB","male","wrestling",25,"NO"
"BUL","male","wrestling",36,"NO"
"BUL","male","modern pentathlon",22,"NO"
"FRA","male","athletics",29,"SI"
"NED","male","athletics",20,"NO"
"MDA","female","athletics",22,"NO"
"GER","male","table tennis",28,"SI"
"SRB","male","shooting",32,"NO"
"GRE","male","cycling",24,"NO"
"CYP","male","athletics",28,"NO"
"GRE","male","aquatics",19,"NO"
"GRE","male","aquatics",25,"NO"
"UKR","male","wrestling",33,"NO"
"RUS","male","volleyball",21,"NO"
"GBR","female","athletics",21,"SI"
"RSA","female","athletics",33,"NO"
"EGY","female","table tennis",22,"NO"
"CHN","male","athletics",24,"NO"
"SEN","female","basketball",32,"NO"
"POR","male","gymnastics",23,"NO"
"POR","male","aquatics",28,"NO"
"BRA","male","handball",33,"NO"
"BRA","male","triathlon",34,"NO"
"NED","male","aquatics",23,"NO"
"FSM","male","aquatics",24,"NO"
"GRE","male","rowing",24,"NO"
"IND","female","gymnastics",23,"NO"
"NED","male","rowing",26,"SI"
"BEL","male","judo",32,"SI"
"PLW","female","aquatics",19,"NO"
"CGO","male","boxing",21,"NO"
"UZB","male","judo",23,"SI"
"MLI","female","athletics",27,"NO"
"RUS","male","volleyball",36,"NO"
"RUS","male","gymnastics",28,"NO"
"CZE","male","table tennis",36,"NO"
"KAZ","male","aquatics",21,"SI"
"KAZ","male","athletics",24,"NO"
"UZB","male","taekwondo",24,"NO"
"ISR","male","athletics",23,"NO"
"RUS","male","canoe",31,"NO"
"RUS","male","triathlon",30,"NO"
"RUS","male","fencing",27,"NO"
"UKR","male","weightlifting",26,"NO"
"UKR","male","canoe",24,"SI"
"UKR","male","fencing",36,"NO"
"UKR","male","athletics",27,"NO"
"UKR","male","rowing",26,"NO"
"UKR","male","boxing",27,"NO"
"UKR","male","aquatics",22,"NO"
"UKR","male","athletics",24,"NO"
"EGY","female","volleyball",20,"NO"
"MEX","female","aquatics",19,"NO"
"URU","female","sailing",17,"NO"
"CRO","male","handball",28,"NO"
"LTU","male","basketball",20,"NO"
"GER","male","cycling",22,"NO"
"ITA","male","rowing",30,"SI"
"SEY","male","judo",31,"NO"
"GBR","male","tennis",30,"NO"
"GBR","male","athletics",33,"NO"
"AUT","male","athletics",26,"NO"
"HUN","male","aquatics",25,"NO"
"CAN","female","aquatics",25,"NO"
"RSA","female","athletics",24,"NO"
"LTU","male","rowing",23,"NO"
"AUS","male","aquatics",22,"NO"
"ISR","male","athletics",29,"NO"
"USA","male","athletics",27,"NO"
"BAH","male","athletics",32,"NO"
"RUS","female","modern pentathlon",28,"NO"
"LTU","female","rowing",27,"SI"
"CHN","male","gymnastics",27,"SI"
"KOR","male","badminton",26,"NO"
"KOR","male","judo",24,"SI"
"KOR","male","gymnastics",27,"NO"
"KOR","male","cycling",29,"NO"
"KOR","male","football",22,"NO"
"KOR","male","weightlifting",23,"NO"
"KOR","male","football",22,"NO"
"CHN","female","aquatics",25,"NO"
"KOR","male","taekwondo",30,"SI"
"CHN","female","football",28,"NO"
"KOR","male","equestrian",27,"NO"
"CHN","female","hockey",29,"NO"
"CHN","female","cycling",23,"NO"
"KOR","male","rowing",26,"NO"
"HON","male","football",35,"NO"
"CAN","female","modern pentathlon",37,"NO"
"HUN","female","aquatics",23,"NO"
"HUN","female","aquatics",27,"NO"
"HUN","female","aquatics",24,"NO"
"GHA","female","athletics",24,"NO"
"NGR","female","athletics",28,"NO"
"KEN","female","rugby sevens",34,"NO"
"FRA","male","triathlon",22,"NO"
"DOM","female","aquatics",20,"NO"
"FRA","male","rowing",33,"NO"
"NED","male","sailing",28,"SI"
"COL","female","taekwondo",30,"NO"
"COL","male","football",28,"NO"
"GER","female","aquatics",32,"NO"
"GER","female","equestrian",47,"SI"
"CAN","female","wrestling",23,"NO"
"UZB","male","weightlifting",21,"NO"
"KAZ","male","wrestling",27,"NO"
"BRA","male","volleyball",21,"SI"
"RSA","male","aquatics",26,"NO"
"BRA","male","football",22,"SI"
"LTU","male","rowing",20,"NO"
"SRB","female","basketball",21,"SI"
"SRB","female","athletics",34,"NO"
"MNE","male","aquatics",32,"NO"
"USA","male","basketball",26,"SI"
"MAR","male","aquatics",19,"NO"
"MKD","female","athletics",20,"NO"
"CHN","male","judo",26,"NO"
"ESP","female","aquatics",28,"NO"
"ISR","male","tennis",31,"NO"
"MGL","male","aquatics",30,"NO"
"ROU","male","weightlifting",27,"NO"
"GBR","male","aquatics",19,"SI"
"CHN","female","aquatics",18,"NO"
"CHN","female","aquatics",19,"NO"
"CHN","male","athletics",22,"NO"
"MNE","female","handball",19,"NO"
"SVK","male","athletics",29,"NO"
"SRB","male","aquatics",22,"SI"
"SRB","male","aquatics",31,"SI"
"GER","male","tennis",32,"NO"
"BAH","male","aquatics",20,"NO"
"IND","female","athletics",20,"NO"
"TUR","female","weightlifting",20,"NO"
"VEN","male","basketball",29,"NO"
"BEL","male","athletics",24,"NO"
"RSA","male","aquatics",23,"NO"
"TTO","male","aquatics",20,"NO"
"GBR","male","sailing",28,"NO"
"NZL","male","cycling",22,"NO"
"RSA","male","rugby sevens",24,"SI"
"NZL","male","gymnastics",19,"NO"
"BLR","male","rowing",31,"NO"
"BLR","male","athletics",29,"NO"
"BLR","male","boxing",20,"NO"
"BLR","male","athletics",20,"NO"
"BLR","male","athletics",28,"NO"
"BLR","male","judo",28,"NO"
"GER","female","football",24,"SI"
"FRA","male","volleyball",25,"NO"
"NGR","male","basketball",35,"NO"
"EGY","female","cycling",20,"NO"
"CAN","female","judo",23,"NO"
"AUS","male","rugby sevens",30,"NO"
"ISV","male","athletics",24,"NO"
"SUI","male","gymnastics",22,"NO"
"CUB","male","athletics",18,"NO"
"BRA","male","athletics",30,"NO"
"BRA","male","volleyball",33,"SI"
"VEN","male","taekwondo",24,"NO"
"PAN","male","aquatics",27,"NO"
"POR","male","football",22,"NO"
"GUA","male","weightlifting",19,"NO"
"VEN","male","boxing",33,"NO"
"MEX","male","athletics",25,"NO"
"LTU","male","wrestling",31,"NO"
"BRN","female","athletics",19,"NO"
"DEN","male","football",28,"NO"
"HUN","female","aquatics",26,"NO"
"HUN","female","fencing",39,"NO"
"MEX","female","judo",25,"NO"
"BRA","female","rugby sevens",24,"NO"
"HAI","male","weightlifting",27,"NO"
"BRA","male","canoe",34,"NO"
"GER","male","wrestling",25,"NO"
"BRA","male","wrestling",26,"NO"
"BRA","female","handball",30,"NO"
"ESP","male","equestrian",32,"NO"
"DOM","male","shooting",50,"NO"
"BRA","male","equestrian",36,"NO"
"CUB","male","rowing",30,"NO"
"ARG","male","cycling",25,"NO"
"ESP","male","aquatics",23,"NO"
"NOR","male","cycling",29,"NO"
"LTU","male","canoe",31,"SI"
"CHI","male","athletics",30,"NO"
"GBR","male","cycling",31,"SI"
"NZL","male","cycling",27,"SI"
"NED","male","equestrian",46,"NO"
"USA","male","rowing",27,"NO"
"GBR","male","shooting",33,"SI"
"AUS","male","hockey",29,"NO"
"ITA","female","judo",26,"NO"
"COL","male","weightlifting",31,"NO"
"AUS","female","hockey",28,"NO"
"AUS","female","equestrian",42,"NO"
"POL","female","canoe",30,"NO"
"POL","female","cycling",30,"NO"
"LAT","male","cycling",28,"NO"
"NED","female","badminton",27,"NO"
"NED","male","athletics",29,"NO"
"KOR","female","hockey",22,"NO"
"NGR","male","boxing",22,"NO"
"GRE","male","shooting",31,"NO"
"LTU","female","athletics",28,"NO"
"CUB","female","shooting",36,"NO"
"RUS","male","volleyball",21,"NO"
"IRI","male","athletics",31,"NO"
"IRI","male","boxing",28,"NO"
"MYA","female","aquatics",24,"NO"
"COL","male","athletics",23,"NO"
"GER","male","athletics",34,"NO"
"JPN","male","athletics",24,"NO"
"PAN","female","fencing",30,"NO"
"GBR","female","athletics",29,"SI"
"GBR","female","athletics",26,"NO"
"LTU","male","boxing",22,"NO"
"AUT","female","aquatics",19,"NO"
"JPN","male","shooting",33,"NO"
"NGR","male","athletics",20,"NO"
"RUS","female","volleyball",29,"NO"
"RUS","female","wrestling",29,"SI"
"RUS","female","fencing",29,"SI"
"RUS","female","handball",25,"SI"
"TUR","female","aquatics",25,"NO"
"BLR","female","rowing",44,"NO"
"UZB","female","gymnastics",34,"NO"
"RUS","female","shooting",28,"NO"
"RUS","female","volleyball",26,"NO"
"ISR","female","gymnastics",19,"NO"
"RUS","female","aquatics",27,"SI"
"RUS","female","tennis",28,"SI"
"RUS","female","handball",34,"SI"
"RUS","female","aquatics",20,"NO"
"BLR","female","athletics",29,"NO"
"RUS","female","aquatics",25,"SI"
"RUS","female","shooting",23,"NO"
"UZB","female","athletics",28,"NO"
"RUS","female","judo",25,"NO"
"FIN","female","gymnastics",19,"NO"
"UZB","female","athletics",24,"NO"
"GRE","female","athletics",26,"SI"
"NGR","male","basketball",31,"NO"
"INA","male","weightlifting",27,"SI"
"ALG","male","athletics",26,"NO"
"BRN","male","athletics",32,"NO"
"MAR","male","wrestling",26,"NO"
"IRI","female","shooting",34,"NO"
"JAM","female","athletics",24,"SI"
"QAT","male","handball",24,"NO"
"HON","male","football",21,"NO"
"IVB","male","athletics",22,"NO"
"FRA","female","athletics",26,"NO"
"MLT","female","shooting",39,"NO"
"CAN","female","fencing",21,"NO"
"USA","female","rowing",29,"SI"
"AUS","female","athletics",20,"NO"
"GBR","female","hockey",27,"NO"
"GRE","male","gymnastics",26,"SI"
"GBR","female","shooting",44,"NO"
"RUS","female","canoe",23,"NO"
"ITA","female","sailing",24,"NO"
"ITA","female","cycling",24,"NO"
"USA","female","basketball",27,"SI"
"RUS","female","volleyball",39,"NO"
"AUS","female","shooting",27,"NO"
"ESP","female","gymnastics",22,"SI"
"ITA","female","athletics",28,"NO"
"ROU","female","athletics",21,"NO"
"KAZ","female","modern pentathlon",23,"NO"
"RUS","female","aquatics",22,"SI"
"USA","female","wrestling",30,"NO"
"RUS","female","tennis",30,"SI"
"GER","female","aquatics",16,"NO"
"ROU","female","rowing",23,"NO"
"CYP","female","athletics",30,"NO"
"GRE","female","gymnastics",21,"NO"
"ITA","female","athletics",27,"NO"
"ITA","female","volleyball",37,"NO"
"USA","male","fencing",21,"NO"
"ITA","male","cycling",27,"SI"
"BRA","female","athletics",30,"NO"
"MAD","female","athletics",34,"NO"
"MEX","male","boxing",25,"NO"
"VEN","male","archery",27,"NO"
"FRA","male","boxing",24,"NO"
"COL","female","athletics",29,"NO"
"TUR","female","wrestling",30,"NO"
"KEN","male","athletics",23,"NO"
"SWE","female","taekwondo",26,"NO"
"SWE","female","football",23,"SI"
"KAZ","female","athletics",22,"NO"
"UKR","female","tennis",22,"NO"
"IVB","female","aquatics",16,"NO"
"GBR","female","cycling",22,"SI"
"ITA","male","judo",20,"NO"
"BUL","male","wrestling",33,"NO"
"NED","female","cycling",22,"SI"
"ITA","female","aquatics",29,"NO"
"ITA","female","cycling",25,"SI"
"ITA","female","gymnastics",19,"NO"
"ITA","female","aquatics",25,"SI"
"ITA","female","athletics",36,"NO"
"MAD","female","weightlifting",24,"NO"
"ITA","female","fencing",34,"SI"
"ESP","female","rugby sevens",28,"NO"
"AUT","female","badminton",26,"NO"
"CAF","female","athletics",27,"NO"
"GER","female","gymnastics",23,"NO"
"GRE","female","athletics",24,"NO"
"CUB","female","aquatics",19,"NO"
"FRA","female","football",31,"NO"
"AUS","female","football",26,"NO"
"CZE","female","athletics",28,"NO"
"GBR","female","gymnastics",17,"NO"
"BUL","female","wrestling",22,"SI"
"KEN","male","athletics",32,"SI"
"ROU","female","handball",23,"NO"
"NZL","female","athletics",20,"SI"
"ESP","female","handball",26,"NO"
"ROU","female","table tennis",27,"NO"
"GBR","female","cycling",28,"NO"
"USA","female","aquatics",24,"NO"
"ECU","female","triathlon",29,"NO"
"AUS","female","basketball",25,"NO"
"NZL","female","aquatics",19,"NO"
"CAN","female","athletics",28,"NO"
"NZL","female","hockey",27,"NO"
"NZL","female","hockey",22,"NO"
"USA","female","equestrian",53,"SI"
"ESP","female","handball",35,"NO"
"NZL","female","hockey",22,"NO"
"SIN","female","sailing",25,"NO"
"GEO","male","wrestling",27,"NO"
"ARG","female","handball",21,"NO"
"BEL","female","cycling",25,"NO"
"AUS","female","athletics",22,"NO"
"COK","female","canoe",26,"NO"
"NED","female","rowing",27,"NO"
"NED","female","hockey",30,"SI"
"SUI","female","athletics",30,"NO"
"USA","female","rowing",32,"NO"
"NED","female","cycling",29,"NO"
"AUS","female","rugby sevens",23,"SI"
"AUS","female","football",16,"NO"
"GBR","female","aquatics",23,"NO"
"GBR","male","athletics",22,"NO"
"BEL","male","hockey",28,"SI"
"IRL","female","gymnastics",18,"NO"
"AZE","male","judo",26,"SI"
"KAZ","female","wrestling",24,"SI"
"FIN","male","equestrian",24,"NO"
"UZB","male","wrestling",25,"SI"
"FRA","female","modern pentathlon",27,"SI"
"FRA","female","rugby sevens",26,"NO"
"FRA","female","rowing",21,"NO"
"FRA","female","football",30,"NO"
"RWA","male","aquatics",21,"NO"
"AUS","female","athletics",34,"NO"
"RSA","male","athletics",30,"NO"
"BEL","female","athletics",33,"NO"
"ESP","female","volleyball",29,"NO"
"CAN","female","gymnastics",21,"NO"
"UZB","male","boxing",30,"NO"
"BDI","female","aquatics",28,"NO"
"NRU","male","weightlifting",22,"NO"
"AZE","male","boxing",25,"NO"
"AZE","male","wrestling",28,"NO"
"RUS","female","aquatics",22,"SI"
"VEN","female","judo",19,"NO"
"CPV","female","gymnastics",18,"NO"
"MNE","female","handball",20,"NO"
"VEN","male","equestrian",20,"NO"
"GER","male","cycling",24,"NO"
"POR","male","canoe",31,"NO"
"ITA","male","volleyball",35,"SI"
"ITA","male","equestrian",30,"NO"
"ITA","male","rowing",26,"NO"
"BRA","female","gymnastics",20,"NO"
"TUR","female","athletics",20,"NO"
"CMR","female","volleyball",19,"NO"
"SWE","female","football",23,"NO"
"TOG","male","aquatics",17,"NO"
"BRA","male","shooting",45,"NO"
"HUN","female","fencing",34,"SI"
"JPN","female","hockey",23,"NO"
"DEN","male","football",25,"NO"
"USA","male","shooting",48,"NO"
"ARG","female","volleyball",29,"NO"
"AUS","female","rugby sevens",24,"SI"
"ROU","female","wrestling",23,"NO"
"POL","female","athletics",26,"NO"
"SWE","female","football",26,"SI"
"SWE","female","cycling",28,"NO"
"FIN","female","aquatics",24,"NO"
"ARG","male","golf",24,"NO"
"URU","male","athletics",26,"NO"
"FRA","female","judo",29,"SI"
"CAN","female","canoe",30,"NO"
"NOR","female","handball",22,"SI"
"FRA","female","athletics",25,"NO"
"CAN","female","cycling",28,"NO"
"GBR","female","athletics",25,"SI"
"AUS","female","football",24,"NO"
"USA","female","athletics",26,"NO"
"BAH","female","rowing",23,"NO"
"CAN","female","aquatics",19,"SI"
"USA","female","rowing",28,"SI"
"AUS","female","aquatics",18,"NO"
"GBR","female","rugby sevens",26,"NO"
"GBR","female","rugby sevens",24,"NO"
"AUS","female","aquatics",24,"SI"
"AUS","female","hockey",24,"NO"
"USA","female","football",23,"NO"
"AUS","female","football",23,"NO"
"SWE","female","football",28,"SI"
"USA","female","athletics",26,"SI"
"NZL","female","rowing",21,"NO"
"GER","female","cycling",19,"NO"
"SWE","female","cycling",33,"SI"
"DEN","female","canoe",20,"SI"
"SWE","female","gymnastics",18,"NO"
"AUS","female","aquatics",22,"SI"
"AUS","female","triathlon",32,"NO"
"GBR","female","cycling",34,"NO"
"NZL","female","aquatics",22,"NO"
"AUS","female","rugby sevens",21,"SI"
"NZL","female","rowing",29,"NO"
"ZIM","female","football",24,"NO"
"GRE","male","aquatics",31,"NO"
"TTO","male","athletics",32,"NO"
"NGR","male","football",23,"SI"
"GHA","male","athletics",21,"NO"
"FRA","male","table tennis",28,"NO"
"ARG","male","judo",32,"NO"
"LBR","male","athletics",25,"NO"
"BEL","male","hockey",23,"SI"
"BEL","male","aquatics",24,"NO"
"ARG","male","modern pentathlon",30,"NO"
"TUR","male","athletics",28,"NO"
"EGY","female","wrestling",27,"NO"
"VEN","male","boxing",25,"NO"
"FRA","female","basketball",28,"NO"
"USA","female","athletics",24,"SI"
"USA","female","shooting",47,"NO"
"MGL","male","boxing",24,"NO"
"ITA","male","rowing",21,"NO"
"ITA","male","fencing",27,"SI"
"NED","male","boxing",23,"NO"
"GUA","male","shooting",38,"NO"
"ESA","male","sailing",24,"NO"
